id,first_name,last_name,biography
1,J.K. ,Rowling,
2,W. Frederick ,Zimmerman,
3,Douglas ,Adams,
4,Stephen,Fry,
5,Bill,Bryson,
6,J.R.R. ,Tolkien,
7,Chris,Smith,
8,Jude,Fisher,
9,Dave ,Thomas,
10,Gary ,Paulsen,
11,Donna ,Ickes,1
12,Gary ,Paulsen,
13,Molly,Hatchet,
14,Dale ,Peck,
15,Angela ,Knight,
16,Delia ,Sherman,
17,Patricia A. ,McKillip,
18,Zilpha Keatley ,Snyder,
19,Kate ,Horsley,
20,Philippa ,Carr,
21,Edward P.,Jones,
22,Satyajit ,Das,
23,Mark ,Smylie,
24,John ,McPhee,
25,Wendy ,Wasserstein,
26,Heidi Hayes ,Jacobs,
27,Heidi ,Boyd,
28,Heidi ,Baker,
29,Johanna ,Spyri,
30,Rolland ,Baker,
31,Heidi ,Murkoff,
32,Heidi ,Fleiss,
33,Frank ,Herbert,
34,Brian ,Herbert,
35,Gary ,Russell,
36,Bryce ,Courtenay,
37,John C.,Maxwell/,
38,Dave ,Lakhani,
39,Louis E. ,Catron,
40,Adam ,Ginsberg,
41,Marsha ,Collier,
42,Chris ,Malta,
43,Julia ,Wilkinson,
44,Lucas ,Carlson,
45,Ruby Ann ,Boxcar,
46,Rob ,Orsini,
47,Leo ,Tolstoy,
48,Marianne ,Sturman,
49,Gloria ,Goldreich,
