id,isbn,title,published_date,description,price,copies_sold,author_id,publisher_id,genre,pages
1,9780439785969,Harry Potter and the Half-Blood Prince (Harry Potter  #6),9/16/2006,,12.6,81,1,1,Comedy|Romance,345
2,9780439358071,Harry Potter and the Order of the Phoenix (Harry Potter  #5),9/1/2004,,34.23,47,1,1,Horror|Mystery|Sci-Fi,400
3,9780439554893,Harry Potter and the Chamber of Secrets (Harry Potter  #2),11/1/2003,,41.32,54,1,1,Horror|Sci-Fi,420
4,9780439655484,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),5/1/2004,,40.61,92,1,1,Documentary,402
5,9780439682589,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),9/13/2004,,18.9,70,1,1,Drama,200
6,9780976540601,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",4/26/2005,,56.15,81,2,2,Action|Horror|Thriller,221
7,9780439827607,Harry Potter Collection (Harry Potter  #1-6),9/12/2005,,76.76,97,1,1,Action|Adventure|Fantasy|Sci-Fi,223
8,9780517226957,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),11/1/2005,,50.67,40,3,3,Drama,300
9,9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4/30/2002,,92.77,59,3,3,Adventure|Comedy|Romance,206
10,9781400052929,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),8/3/2004,,63.42,9,3,3,Comedy,182
11,9780739322208,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),3/23/2005,,30.24,18,3,3,Comedy|Drama,159
12,9780517149256,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),1/17/1996,,23.75,59,3,3,Animation|Children,135
13,9780767908184,A Short History of Nearly Everything,9/14/2004,,66.93,89,4,4,Action|Comedy,112
14,9780767915069,Bill Bryson's African Diary,12/3/2002,,61.07,49,4,4,Comedy|Drama,88
15,9780767910439,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,9/14/2004,,36.08,31,4,4,Drama|Romance,64
16,9780767903868,In a Sunburned Country,5/15/2001,,32.66,59,4,4,Action|War,41
17,9780767903820,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,6/28/2000,,98.29,97,4,4,Action|Adventure|Comedy|Romance,17
18,9780060920081,The Lost Continent: Travels in Small Town America,8/28/1990,,92.84,57,4,4,Comedy|Drama|Horror|Thriller,200
19,9780380713806,Neither Here nor There: Travels in Europe,3/28/1993,,59.07,56,4,4,Comedy|Crime|Drama|Mystery|Thriller,30
20,9780380727506,Notes from a Small Island,5/28/1997,,84.75,47,4,4,Horror|Mystery|Thriller,53
21,9780380715435,The Mother Tongue: English and How It Got That Way,9/28/1991,,1.65,50,4,4,Comedy,77
22,9780345538376,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9/25/2012,,5.26,88,5,6,Action|Comedy,100
23,9780618517657,The Lord of the Rings (The Lord of the Rings  #1-3),10/21/2004,,95.1,59,5,6,Comedy,124
24,9780618346257,The Fellowship of the Ring (The Lord of the Rings  #1),9/5/2003,,20.47,65,5,6,Adventure|Drama|Western,148
25,9780618260584,The Lord of the Rings (The Lord of the Rings  #1-3),10/1/2002,,70.47,41,5,6,Documentary,171
26,9780618391004,The Lord of the Rings: Weapons and Warfare,11/5/2003,,43.45,45,6,6,Comedy,195
27,9780618510825,The Lord of the Rings: Complete Visual Companion,11/15/2004,,44.29,46,7,20,Sci-Fi,218
28,9780976694007,Agile Web Development with Rails: A Pragmatic Guide,7/28/2005,,28.56,75,9,20,Documentary,242
29,9780689840920,Hatchet (Brian's Saga  #1),4/1/2000,,25.94,2,10,98,(no genres listed),266
30,9781557344496,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",8/28/1994,,24.68,82,11,98,Animation|Children|Fantasy|Romance,289
31,9780385326506,Guts: The True Stories behind Hatchet and the Brian Books,1/23/2001,,74.62,69,11,30,Comedy|Crime|Drama|Thriller,313
32,9781575606248,Molly Hatchet - 5 of the Best,6/10/2003,,46.02,62,12,31,Action,336
33,9781595580276,Hatchet Jobs: Writings on Contemporary Fiction,11/1/2005,,20.91,53,12,32,Western,360
34,9781595962805,A Changeling for All Seasons (Changeling Seasons #1),11/1/2005,,73.9,19,12,33,Drama|Fantasy|Mystery,385
35,9780670059676,Changeling (Changeling  #1),8/17/2006,,17.22,5,13,34,Action|Comedy|Drama,411
36,9780141312620,The Changeling Sea,4/14/2003,,34.37,26,13,35,Documentary,435
37,9780595321803,The Changeling,6/8/2004,,88.34,6,13,36,Drama,412
38,9781590301944,The Changeling,4/12/2005,,29.6,55,13,37,Drama,432
39,9780449146972,The Changeling (Daughters of England  #15),8/28/1990,,85.93,47,14,38,Crime|Thriller,23
40,9780061159176,The Known World,8/29/2006,,15.7,51,14,39,Drama|Sci-Fi,123
41,9780060762735,The Known World,6/15/2004,,17.02,30,14,40,Documentary|Drama,321
42,9780060749910,The Known World,6/15/2004,,66.27,83,14,41,Crime|Drama|Romance,432
43,9780273704744,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,5/15/2006,,44.66,28,14,42,Action|Adventure|Thriller,234
44,9781932386103,Artesia: Adventures in the Known World,12/14/2005,,40.6,69,15,43,Documentary,543
