id,company_name,country
1,Scholastic Inc.,
2,Nimble Books,
3,Gramercy Books,
4,Del Rey Books,
5,Crown,
6,Random House Audio,
7,Wings Books,
8,Broadway Books,
9,William Morrow Paperbacks,
10,Ballantine Books,
11,Houghton Mifflin Harcourt,
12,Pragmatic Bookshelf,
13,Atheneum Books for Young Readers: Richard Jackson Books,
14,Teacher Created Resources,
15,Delacorte Press,
16,Cherry Lane Music Company,
17,The New Press,
18,Changeling Press,
19,Viking Juvenile,
20,Firebird,
21,iUniverse,
22,Shambhala,
23,Ivy Books,
24,Amistad,
25,HarperAudio,
26,Harper,
27,FT Press,
28,Archaia,
29,Farrar  Straus and Giroux,
30,Farrar Straus Giroux,
31,Dramatists Play Service,
32,Vintage,
33,Routledge,
34,North Light Books,
35,Chosen Books,
36,Association for Supervision & Curriculum Development,
37,Kingfisher,
38,ASCD,
39,Sovereign World,
40,Workman Publishing Company,
41,One Hour Entertainment,
42,Ace Books,
43,Tor Books,
44,Putnam,
45,Tor Science Fiction,
46,Delacorte Books for Young Readers,
47,Thomas Nelson,
48,Wiley,
49,Heinemann Drama,
50,McGraw-Hill,
51,O'Reilly Media,
52,Citadel,
53,Penguin Classics,
54,Signet,
55,Penguin Books,
56,Cliffs Notes,
57,Barnes & Noble Classics,
58,Dover Publications,
59,Barnes & Noble,
60,Mira Books,
61,Cambridge University Press,
62,Buccaneer Books,
63,Scribner,
64,Clarity Press,
65,Rowman & Littlefield Publishers,
66,Pearson,
67,Harper Perennial,
68,EMC/Paradigm Publishing,
69,Teaching Resources,
70,Turtleback Books,
71,Little  Brown Book Group,
72,William Morrow,
73,Atria Books,
74,Vintage Crime/Black Lizard,
75,Picador USA,
76,Sterling,
77,Puffin,
78,New Directions Publishing,
79,Grove Press,
80,New Directions,
81,Barnes  Noble Classics,
82,Brookline Books,
83,Pantheon,
84,One World (UK),
85,Interlink Publishing Group,
86,Knopf,
87,Sterling Children's Books,
88,Simon & Schuster,
89,Atheneum Books for Young Readers,
90,Abdo Publishing Company,
91,Black Classic Press,
92,French & European,
93,Random House Books for Young Readers,
94,Zebra,
95,Greenwillow Books,
96,Booket,
97,Del Rey,
98,Ace,
